hotelcode,hotelid,hotelname
66623,S280201,陶泉 御所坊
66643,S280202,ホテル花小宿
94205,S280253,サンセットビューホテル けひの海
107803,S280267,神戸みなと温泉蓮
111223,S280286,高山荘 華野
128843,S280328,川本屋
146254,S280376,宝塚ホテル
151427,S280401,天地の宿 奥の細道
151537,S280402,夢乃井庵 夕やけこやけ
151627,S280403,赤穂温泉 呑海楼
151679,S280404,セトレ ハイランドヴィラ姫路
151720,S280406,城崎円山川温泉 銀花（共立リゾート）
4045,S290002,奈良ホテル
4053,S290010,ＡＮＤＯ ＨＯＴＥＬ 奈良若草山
5256,S290073,春日奥山 月日亭
147623,S290155,門前宿 和空法隆寺
147823,S290157,湯乃谷千慶
